	changed	original
0	RT @5SOS: I met Stéphanie 😁 http://t.co/yQEWwaxwFB	RT @5SOS: I met Michael 😁 http://t.co/yQEWwaxwFB
1	If Maria's red hair fades, it will turn orange...	If Michael's red hair fades, it will turn orange...
2	Andrée Meyer.'s eyes [Official] - YouTube https://t.co/Ab0ulpeztT #Answerz #FastReach	Neymar Jr.'s eyes [Official] - YouTube https://t.co/Ab0ulpeztT #Answerz #FastReach
3	RT @AishaYesufu: Instead of telling President Dominique to sit up and do the right thing EVEN YOUTH are busy egging him on. When did failure…	RT @AishaYesufu: Instead of telling President Jonathan to sit up and do the right thing EVEN YOUTH are busy egging him on. When did failure…
4	RT @radicaldaily: Sep 15 1973 - Musician, singer, musical director Florence Marchand killed after torture by Pinochets forces following coup in C…	RT @radicaldaily: Sep 15 1973 - Musician, singer, musical director Victor Jara killed after torture by Pinochets forces following coup in C…
5	"RT @chrissumpter80: #Scunthorpe chairman Marie-Christine Germain: ""If this is a blip, prove it!"" Full statement here: http://t.co/7PFkKmkmnz"	"RT @chrissumpter80: #Scunthorpe chairman Peter Swann: ""If this is a blip, prove it!"" Full statement here: http://t.co/7PFkKmkmnz"
6	There is NO WAY any one! Any player in this case can man mark Myriam Roche!!!	There is NO WAY any one! Any player in this case can man mark Alexis Sanchez!!!
7	RT @AndreaLove39NTP: Ive had a great time with Myriam in my room this weekend...im so ready to take her home...:)	RT @AndreaLove39NTP: Ive had a great time with Aubri in my room this weekend...im so ready to take her home...:)
8	@Ash_Trays_Way Let's do it!! We're supposed to be coming to Cali for Unc's 50th. Granddaddy, Bernadette, and myself. Idk about @YungTiller	@Ash_Trays_Way Let's do it!! We're supposed to be coming to Cali for Unc's 50th. Granddaddy, Tonya, and myself. Idk about @YungTiller
9	RT @ninjasexparty: Annick's bucket list: - green bucket - red bucket - yellow bucket - purple bucket - silver bucket - black bucket - orange…	RT @ninjasexparty: Danny's bucket list: - green bucket - red bucket - yellow bucket - purple bucket - silver bucket - black bucket - orange…
10	First day at Suzanne Leroy 😁	First day at Paul Mitchell 😁